Measure,Metric,Risk,Cause,Location,Age,Sex,Year,Value,Upper,Lower
DALYs,Rate,Ambient ozone pollution,All causes,Andorra,Age-standardized,Both sexes,2019,28.54,49.38,11.26
DALYs,Rate,Ambient particulate matter pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,2019,2409.77,3072.04,1817.16
DALYs,Rate,Household air pollution from solid fuels,All causes,Bosnia and Herzegovina,All ages,Both sexes,2019,761.69,1522.39,305.28
DALYs,Rate,Ambient ozone pollution,All causes,Bosnia and Herzegovina,All ages,Both sexes,2019,43.54,73.08,18.69
DALYs,Rate,Ambient particulate matter pollution,All causes,Bosnia and Herzegovina,Age-standardized,Both sexes,2019,1415.34,1792.21,1062.84
DALYs,Rate,Household air pollution from solid fuels,All causes,Bosnia and Herzegovina,Age-standardized,Both sexes,2019,449.97,895.31,182.24
DALYs,Rate,Ambient ozone pollution,All causes,Bosnia and Herzegovina,Age-standardized,Both sexes,2019,24.01,40.42,10.36
DALYs,Rate,Ambient particulate matter pollution,All causes,Malta,Age-standardized,Both sexes,2019,382.19,494.10,278.82
DALYs,Rate,Household air pollution from solid fuels,All causes,Malta,Age-standardized,Both sexes,2019,1.11,2.88,0.31
DALYs,Rate,Ambient ozone pollution,All causes,Malta,Age-standardized,Both sexes,2019,21.89,36.17,9.46
DALYs,Number,Ambient particulate matter pollution,All causes,Romania,All ages,Both sexes,2019,309989.69,388167.60,240388.92
DALYs,Number,Household air pollution from solid fuels,All causes,Romania,All ages,Both sexes,2019,51770.79,123204.40,17015.87
DALYs,Number,Ambient ozone pollution,All causes,Romania,All ages,Both sexes,2019,2489.67,4769.06,824.20
DALYs,Rate,Ambient particulate matter pollution,All causes,Romania,All ages,Both sexes,2019,1611.42,2017.81,1249.61
DALYs,Rate,Household air pollution from solid fuels,All causes,Romania,All ages,Both sexes,2019,269.12,640.45,88.45
DALYs,Rate,Ambient ozone pollution,All causes,Romania,All ages,Both sexes,2019,12.94,24.79,4.28
DALYs,Rate,Ambient particulate matter pollution,All causes,Italy,Age-standardized,Both sexes,2019,357.49,435.66,284.57
DALYs,Rate,Household air pollution from solid fuels,All causes,Italy,Age-standardized,Both sexes,2019,2.08,5.24,0.69
DALYs,Rate,Ambient ozone pollution,All causes,Italy,Age-standardized,Both sexes,2019,23.56,36.79,10.98
DALYs,Rate,Ambient particulate matter pollution,All causes,Slovakia,All ages,Both sexes,2019,1407.27,1792.95,1041.40
DALYs,Rate,Household air pollution from solid fuels,All causes,Slovakia,All ages,Both sexes,2019,14.15,38.38,3.71
DALYs,Rate,Ambient ozone pollution,All causes,Slovakia,All ages,Both sexes,2019,24.60,41.62,10.77
DALYs,Rate,Ambient particulate matter pollution,All causes,Slovakia,Age-standardized,Both sexes,2019,873.47,1116.88,649.40
DALYs,Rate,Household air pollution from solid fuels,All causes,Slovakia,Age-standardized,Both sexes,2019,8.80,23.98,2.29
DALYs,Rate,Ambient ozone pollution,All causes,Slovakia,Age-standardized,Both sexes,2019,14.51,24.63,6.38
DALYs,Rate,Ambient particulate matter pollution,All causes,Romania,Age-standardized,Both sexes,2019,936.38,1179.32,726.79
DALYs,Rate,Household air pollution from solid fuels,All causes,Romania,Age-standardized,Both sexes,2019,155.78,373.54,51.15
DALYs,Rate,Ambient ozone pollution,All causes,Romania,Age-standardized,Both sexes,2019,6.79,13.00,2.27
DALYs,Number,Ambient particulate matter pollution,All causes,Italy,All ages,Both sexes,2019,466529.52,569933.57,370620.89
DALYs,Number,Household air pollution from solid fuels,All causes,Italy,All ages,Both sexes,2019,2747.88,6955.07,926.36
DALYs,Number,Ambient ozone pollution,All causes,Italy,All ages,Both sexes,2019,39581.63,61469.32,18281.96
DALYs,Rate,Ambient particulate matter pollution,All causes,Italy,All ages,Both sexes,2019,773.51,944.96,614.49
DALYs,Rate,Household air pollution from solid fuels,All causes,Italy,All ages,Both sexes,2019,4.56,11.53,1.54
DALYs,Rate,Ambient ozone pollution,All causes,Italy,All ages,Both sexes,2019,65.63,101.92,30.31
DALYs,Rate,Ambient particulate matter pollution,All causes,Estonia,All ages,Both sexes,2019,248.82,439.76,94.01
DALYs,Rate,Household air pollution from solid fuels,All causes,Estonia,All ages,Both sexes,2019,67.09,196.22,13.25
DALYs,Rate,Ambient ozone pollution,All causes,Estonia,All ages,Both sexes,2019,8.45,17.10,2.72
DALYs,Rate,Ambient particulate matter pollution,All causes,Estonia,Age-standardized,Both sexes,2019,137.91,240.60,53.32
DALYs,Rate,Household air pollution from solid fuels,All causes,Estonia,Age-standardized,Both sexes,2019,36.13,104.85,7.33
DALYs,Rate,Ambient ozone pollution,All causes,Estonia,Age-standardized,Both sexes,2019,4.05,8.30,1.29
DALYs,Number,Ambient particulate matter pollution,All causes,Belgium,All ages,Both sexes,2019,71350.57,89860.06,53507.71
DALYs,Number,Household air pollution from solid fuels,All causes,Belgium,All ages,Both sexes,2019,129.70,380.23,34.06
DALYs,Number,Ambient ozone pollution,All causes,Belgium,All ages,Both sexes,2019,4355.61,7756.59,1771.63
DALYs,Rate,Ambient particulate matter pollution,All causes,Belgium,All ages,Both sexes,2019,624.83,786.92,468.58
DALYs,Rate,Household air pollution from solid fuels,All causes,Belgium,All ages,Both sexes,2019,1.14,3.33,0.30
DALYs,Rate,Ambient ozone pollution,All causes,Belgium,All ages,Both sexes,2019,38.14,67.93,15.51
DALYs,Number,Ambient particulate matter pollution,All causes,Denmark,All ages,Both sexes,2019,25967.18,36083.05,16487.72
DALYs,Number,Household air pollution from solid fuels,All causes,Denmark,All ages,Both sexes,2019,45.80,142.81,12.08
DALYs,Number,Ambient ozone pollution,All causes,Denmark,All ages,Both sexes,2019,2560.10,4612.27,942.98
DALYs,Rate,Ambient particulate matter pollution,All causes,Denmark,All ages,Both sexes,2019,447.50,621.83,284.14
DALYs,Rate,Household air pollution from solid fuels,All causes,Denmark,All ages,Both sexes,2019,0.79,2.46,0.21
DALYs,Rate,Ambient ozone pollution,All causes,Denmark,All ages,Both sexes,2019,44.12,79.48,16.25
DALYs,Rate,Ambient particulate matter pollution,All causes,Denmark,Age-standardized,Both sexes,2019,249.54,344.84,159.52
DALYs,Rate,Household air pollution from solid fuels,All causes,Denmark,Age-standardized,Both sexes,2019,0.44,1.34,0.11
DALYs,Rate,Ambient ozone pollution,All causes,Denmark,Age-standardized,Both sexes,2019,21.16,38.28,7.82
DALYs,Rate,Ambient particulate matter pollution,All causes,Belgium,Age-standardized,Both sexes,2019,342.44,430.57,258.38
DALYs,Rate,Household air pollution from solid fuels,All causes,Belgium,Age-standardized,Both sexes,2019,0.61,1.80,0.16
DALYs,Rate,Ambient ozone pollution,All causes,Belgium,Age-standardized,Both sexes,2019,18.22,32.26,7.37
DALYs,Number,Ambient particulate matter pollution,All causes,Norway,All ages,Both sexes,2019,8598.86,14929.64,3347.66
DALYs,Number,Household air pollution from solid fuels,All causes,Norway,All ages,Both sexes,2019,29.84,95.80,6.97
DALYs,Number,Ambient ozone pollution,All causes,Norway,All ages,Both sexes,2019,872.86,1675.95,311.44
DALYs,Rate,Ambient particulate matter pollution,All causes,Norway,All ages,Both sexes,2019,160.76,279.12,62.59
DALYs,Rate,Household air pollution from solid fuels,All causes,Norway,All ages,Both sexes,2019,0.56,1.79,0.13
DALYs,Rate,Ambient ozone pollution,All causes,Norway,All ages,Both sexes,2019,16.32,31.33,5.82
DALYs,Rate,Ambient particulate matter pollution,All causes,Spain,Age-standardized,Both sexes,2019,213.02,291.20,143.61
DALYs,Rate,Household air pollution from solid fuels,All causes,Spain,Age-standardized,Both sexes,2019,4.91,11.88,1.61
DALYs,Rate,Ambient ozone pollution,All causes,Spain,Age-standardized,Both sexes,2019,28.70,45.79,12.87
DALYs,Number,Ambient particulate matter pollution,All causes,Poland,All ages,Both sexes,2019,619319.48,759580.40,500647.79
DALYs,Number,Household air pollution from solid fuels,All causes,Poland,All ages,Both sexes,2019,63821.87,148504.28,20136.69
DALYs,Number,Ambient ozone pollution,All causes,Poland,All ages,Both sexes,2019,10970.99,18571.62,4719.29
DALYs,Rate,Ambient particulate matter pollution,All causes,Poland,All ages,Both sexes,2019,1611.37,1976.30,1302.60
DALYs,Rate,Household air pollution from solid fuels,All causes,Poland,All ages,Both sexes,2019,166.05,386.38,52.39
DALYs,Rate,Ambient ozone pollution,All causes,Poland,All ages,Both sexes,2019,28.54,48.32,12.28
DALYs,Rate,Ambient particulate matter pollution,All causes,Poland,Age-standardized,Both sexes,2019,947.92,1162.38,767.73
DALYs,Rate,Household air pollution from solid fuels,All causes,Poland,Age-standardized,Both sexes,2019,97.27,225.33,30.69
DALYs,Rate,Ambient ozone pollution,All causes,Poland,Age-standardized,Both sexes,2019,15.35,25.99,6.59
DALYs,Rate,Ambient particulate matter pollution,All causes,Norway,Age-standardized,Both sexes,2019,98.97,167.86,42.08
DALYs,Rate,Household air pollution from solid fuels,All causes,Norway,Age-standardized,Both sexes,2019,0.33,1.08,0.08
DALYs,Rate,Ambient ozone pollution,All causes,Norway,Age-standardized,Both sexes,2019,8.68,16.65,3.09
DALYs,Number,Ambient particulate matter pollution,All causes,Malta,All ages,Both sexes,2019,3123.81,4010.38,2320.34
DALYs,Number,Household air pollution from solid fuels,All causes,Malta,All ages,Both sexes,2019,9.11,23.54,2.58
DALYs,Number,Ambient ozone pollution,All causes,Malta,All ages,Both sexes,2019,216.07,356.94,93.16
DALYs,Rate,Ambient particulate matter pollution,All causes,Malta,All ages,Both sexes,2019,711.22,913.07,528.29
DALYs,Rate,Household air pollution from solid fuels,All causes,Malta,All ages,Both sexes,2019,2.08,5.36,0.59
DALYs,Rate,Ambient ozone pollution,All causes,Malta,All ages,Both sexes,2019,49.19,81.27,21.21
DALYs,Number,Ambient particulate matter pollution,All causes,Andorra,All ages,Both sexes,2019,243.80,374.16,131.25
DALYs,Number,Household air pollution from solid fuels,All causes,Andorra,All ages,Both sexes,2019,0.63,1.82,0.15
DALYs,Number,Ambient ozone pollution,All causes,Andorra,All ages,Both sexes,2019,41.30,71.27,15.96
DALYs,Rate,Ambient particulate matter pollution,All causes,Andorra,All ages,Both sexes,2019,293.50,450.45,158.02
DALYs,Rate,Household air pollution from solid fuels,All causes,Andorra,All ages,Both sexes,2019,0.76,2.19,0.18
DALYs,Rate,Ambient ozone pollution,All causes,Andorra,All ages,Both sexes,2019,49.72,85.80,19.22
DALYs,Number,Ambient particulate matter pollution,All causes,Croatia,All ages,Both sexes,2019,63430.24,79871.33,47731.37
DALYs,Number,Household air pollution from solid fuels,All causes,Croatia,All ages,Both sexes,2019,3538.36,9214.18,1057.10
DALYs,Number,Ambient ozone pollution,All causes,Croatia,All ages,Both sexes,2019,2470.17,4107.52,1083.22
DALYs,Rate,Ambient particulate matter pollution,All causes,Croatia,All ages,Both sexes,2019,1493.21,1880.25,1123.65
DALYs,Rate,Household air pollution from solid fuels,All causes,Croatia,All ages,Both sexes,2019,83.30,216.91,24.89
DALYs,Rate,Ambient ozone pollution,All causes,Croatia,All ages,Both sexes,2019,58.15,96.70,25.50
DALYs,Rate,Ambient particulate matter pollution,All causes,North Macedonia,Age-standardized,Both sexes,2019,2083.70,2608.14,1602.77
DALYs,Rate,Household air pollution from solid fuels,All causes,North Macedonia,Age-standardized,Both sexes,2019,409.30,836.36,148.24
DALYs,Rate,Ambient ozone pollution,All causes,North Macedonia,Age-standardized,Both sexes,2019,11.60,21.19,4.33
DALYs,Number,Ambient particulate matter pollution,All causes,San Marino,All ages,Both sexes,2019,119.15,207.92,50.20
DALYs,Number,Household air pollution from solid fuels,All causes,San Marino,All ages,Both sexes,2019,0.39,1.17,0.10
DALYs,Number,Ambient ozone pollution,All causes,San Marino,All ages,Both sexes,2019,12.77,22.94,5.25
DALYs,Rate,Ambient particulate matter pollution,All causes,San Marino,All ages,Both sexes,2019,359.96,628.15,151.65
DALYs,Rate,Household air pollution from solid fuels,All causes,San Marino,All ages,Both sexes,2019,1.19,3.54,0.31
DALYs,Rate,Ambient ozone pollution,All causes,San Marino,All ages,Both sexes,2019,38.57,69.31,15.85
DALYs,Number,Ambient particulate matter pollution,All causes,Lithuania,All ages,Both sexes,2019,24760.79,35073.39,16174.68
DALYs,Number,Household air pollution from solid fuels,All causes,Lithuania,All ages,Both sexes,2019,1267.30,3424.20,327.95
DALYs,Number,Ambient ozone pollution,All causes,Lithuania,All ages,Both sexes,2019,258.71,509.05,90.06
DALYs,Rate,Ambient particulate matter pollution,All causes,Lithuania,All ages,Both sexes,2019,886.14,1255.21,578.86
DALYs,Rate,Household air pollution from solid fuels,All causes,Lithuania,All ages,Both sexes,2019,45.35,122.55,11.74
DALYs,Rate,Ambient ozone pollution,All causes,Lithuania,All ages,Both sexes,2019,9.26,18.22,3.22
DALYs,Number,Ambient particulate matter pollution,All causes,Slovakia,All ages,Both sexes,2019,76516.64,97486.82,56623.50
DALYs,Number,Household air pollution from solid fuels,All causes,Slovakia,All ages,Both sexes,2019,769.25,2086.92,201.71
DALYs,Number,Ambient ozone pollution,All causes,Slovakia,All ages,Both sexes,2019,1337.29,2262.79,585.81
DALYs,Rate,Ambient particulate matter pollution,All causes,Lithuania,Age-standardized,Both sexes,2019,474.24,675.51,310.82
DALYs,Rate,Household air pollution from solid fuels,All causes,Lithuania,Age-standardized,Both sexes,2019,23.63,64.77,5.98
DALYs,Rate,Ambient ozone pollution,All causes,Lithuania,Age-standardized,Both sexes,2019,4.43,8.70,1.54
DALYs,Number,Ambient particulate matter pollution,All causes,France,All ages,Both sexes,2019,257165.70,330391.11,187432.76
DALYs,Number,Household air pollution from solid fuels,All causes,France,All ages,Both sexes,2019,791.34,2111.10,225.90
DALYs,Number,Ambient ozone pollution,All causes,France,All ages,Both sexes,2019,13666.71,23172.25,5754.37
DALYs,Rate,Ambient particulate matter pollution,All causes,France,All ages,Both sexes,2019,388.44,499.05,283.11
DALYs,Rate,Household air pollution from solid fuels,All causes,France,All ages,Both sexes,2019,1.20,3.19,0.34
DALYs,Rate,Ambient ozone pollution,All causes,France,All ages,Both sexes,2019,20.64,35.00,8.69
DALYs,Rate,Ambient particulate matter pollution,All causes,Albania,Age-standardized,Both sexes,2019,839.52,1126.99,607.36
DALYs,Rate,Household air pollution from solid fuels,All causes,Albania,Age-standardized,Both sexes,2019,404.64,735.14,169.07
DALYs,Rate,Ambient ozone pollution,All causes,Albania,Age-standardized,Both sexes,2019,8.00,14.87,3.00
DALYs,Number,Ambient particulate matter pollution,All causes,Switzerland,All ages,Both sexes,2019,28207.41,38239.72,19045.06
DALYs,Number,Household air pollution from solid fuels,All causes,Switzerland,All ages,Both sexes,2019,34.61,97.08,9.17
DALYs,Number,Ambient ozone pollution,All causes,Switzerland,All ages,Both sexes,2019,3255.42,5305.92,1491.03
DALYs,Rate,Ambient particulate matter pollution,All causes,Switzerland,All ages,Both sexes,2019,321.44,435.77,217.03
DALYs,Rate,Household air pollution from solid fuels,All causes,Switzerland,All ages,Both sexes,2019,0.39,1.11,0.10
DALYs,Rate,Ambient ozone pollution,All causes,Switzerland,All ages,Both sexes,2019,37.10,60.46,16.99
DALYs,Rate,Ambient particulate matter pollution,All causes,Switzerland,Age-standardized,Both sexes,2019,181.69,253.72,119.52
DALYs,Rate,Household air pollution from solid fuels,All causes,Switzerland,Age-standardized,Both sexes,2019,0.22,0.62,0.06
DALYs,Rate,Ambient ozone pollution,All causes,Switzerland,Age-standardized,Both sexes,2019,17.50,28.46,7.89
DALYs,Rate,Ambient particulate matter pollution,All causes,Belarus,Age-standardized,Both sexes,2019,1195.92,1644.38,831.97
DALYs,Rate,Household air pollution from solid fuels,All causes,Belarus,Age-standardized,Both sexes,2019,13.57,33.70,4.26
DALYs,Rate,Ambient ozone pollution,All causes,Belarus,Age-standardized,Both sexes,2019,8.74,17.33,3.29
DALYs,Number,Ambient particulate matter pollution,All causes,Bulgaria,All ages,Both sexes,2019,191403.70,240019.44,147893.60
DALYs,Number,Household air pollution from solid fuels,All causes,Bulgaria,All ages,Both sexes,2019,37736.60,86721.75,11846.59
DALYs,Number,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,2019,2603.45,4493.58,1057.86
DALYs,Rate,Ambient particulate matter pollution,All causes,Bulgaria,All ages,Both sexes,2019,2760.12,3461.17,2132.68
DALYs,Rate,Household air pollution from solid fuels,All causes,Bulgaria,All ages,Both sexes,2019,544.18,1250.56,170.83
DALYs,Rate,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,2019,37.54,64.80,15.25
DALYs,Rate,Ambient particulate matter pollution,All causes,Bulgaria,Age-standardized,Both sexes,2019,1473.65,1862.88,1134.35
DALYs,Rate,Household air pollution from solid fuels,All causes,Bulgaria,Age-standardized,Both sexes,2019,288.61,659.93,90.15
DALYs,Rate,Ambient ozone pollution,All causes,Bulgaria,Age-standardized,Both sexes,2019,18.23,31.41,7.41
DALYs,Rate,Ambient particulate matter pollution,All causes,Cyprus,Age-standardized,Both sexes,2019,502.88,634.65,385.46
DALYs,Rate,Household air pollution from solid fuels,All causes,Cyprus,Age-standardized,Both sexes,2019,1.05,3.02,0.27
DALYs,Rate,Ambient ozone pollution,All causes,Cyprus,Age-standardized,Both sexes,2019,35.10,55.69,15.71
DALYs,Number,Ambient particulate matter pollution,All causes,Finland,All ages,Both sexes,2019,8006.07,16010.00,1738.88
DALYs,Number,Household air pollution from solid fuels,All causes,Finland,All ages,Both sexes,2019,57.66,192.30,11.81
DALYs,Number,Ambient ozone pollution,All causes,Finland,All ages,Both sexes,2019,436.96,884.87,142.86
DALYs,Rate,Ambient particulate matter pollution,All causes,Finland,All ages,Both sexes,2019,144.67,289.30,31.42
DALYs,Rate,Household air pollution from solid fuels,All causes,Finland,All ages,Both sexes,2019,1.04,3.47,0.21
DALYs,Rate,Ambient ozone pollution,All causes,Finland,All ages,Both sexes,2019,7.90,15.99,2.58
DALYs,Rate,Ambient particulate matter pollution,All causes,Finland,Age-standardized,Both sexes,2019,75.48,147.67,18.11
DALYs,Rate,Household air pollution from solid fuels,All causes,Finland,Age-standardized,Both sexes,2019,0.53,1.73,0.11
DALYs,Rate,Ambient ozone pollution,All causes,Finland,Age-standardized,Both sexes,2019,3.38,6.84,1.11
DALYs,Number,Ambient particulate matter pollution,All causes,Latvia,All ages,Both sexes,2019,22200.11,30534.79,15394.84
DALYs,Number,Household air pollution from solid fuels,All causes,Latvia,All ages,Both sexes,2019,2140.34,5406.71,626.74
DALYs,Number,Ambient ozone pollution,All causes,Latvia,All ages,Both sexes,2019,186.11,373.66,67.51
DALYs,Rate,Ambient particulate matter pollution,All causes,Latvia,All ages,Both sexes,2019,1159.10,1594.26,803.79
DALYs,Rate,Household air pollution from solid fuels,All causes,Latvia,All ages,Both sexes,2019,111.75,282.29,32.72
DALYs,Rate,Ambient ozone pollution,All causes,Latvia,All ages,Both sexes,2019,9.72,19.51,3.52
DALYs,Rate,Ambient particulate matter pollution,All causes,Latvia,Age-standardized,Both sexes,2019,612.17,838.36,424.04
DALYs,Rate,Household air pollution from solid fuels,All causes,Latvia,Age-standardized,Both sexes,2019,57.67,148.58,16.51
DALYs,Rate,Ambient ozone pollution,All causes,Latvia,Age-standardized,Both sexes,2019,4.62,9.27,1.69
DALYs,Number,Ambient particulate matter pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,48682.23,70809.89,28491.64
DALYs,Number,Household air pollution from solid fuels,All causes,Republic of Moldova,All ages,Both sexes,2019,6730.60,13914.69,2616.76
DALYs,Number,Ambient ozone pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,680.28,1243.31,272.37
DALYs,Rate,Ambient particulate matter pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,1319.95,1919.91,772.51
DALYs,Rate,Household air pollution from solid fuels,All causes,Republic of Moldova,All ages,Both sexes,2019,182.49,377.28,70.95
DALYs,Rate,Ambient ozone pollution,All causes,Republic of Moldova,All ages,Both sexes,2019,18.44,33.71,7.38
DALYs,Number,Ambient particulate matter pollution,All causes,Sweden,All ages,Both sexes,2019,13127.74,25656.23,3722.57
DALYs,Number,Household air pollution from solid fuels,All causes,Sweden,All ages,Both sexes,2019,67.83,222.78,15.00
DALYs,Number,Ambient ozone pollution,All causes,Sweden,All ages,Both sexes,2019,1428.80,2759.26,485.85
DALYs,Rate,Ambient particulate matter pollution,All causes,Sweden,All ages,Both sexes,2019,128.42,250.98,36.42
DALYs,Rate,Household air pollution from solid fuels,All causes,Sweden,All ages,Both sexes,2019,0.66,2.18,0.15
DALYs,Rate,Ambient ozone pollution,All causes,Sweden,All ages,Both sexes,2019,13.98,26.99,4.75
DALYs,Rate,Ambient particulate matter pollution,All causes,Sweden,Age-standardized,Both sexes,2019,72.74,137.23,21.83
DALYs,Rate,Household air pollution from solid fuels,All causes,Sweden,Age-standardized,Both sexes,2019,0.36,1.14,0.08
DALYs,Rate,Ambient ozone pollution,All causes,Sweden,Age-standardized,Both sexes,2019,6.18,11.92,2.13
DALYs,Number,Ambient particulate matter pollution,All causes,United Kingdom,All ages,Both sexes,2019,311467.73,422442.48,209611.16
DALYs,Number,Household air pollution from solid fuels,All causes,United Kingdom,All ages,Both sexes,2019,275.43,818.81,75.60
DALYs,Number,Ambient ozone pollution,All causes,United Kingdom,All ages,Both sexes,2019,8292.27,17354.63,2465.90
DALYs,Rate,Ambient particulate matter pollution,All causes,United Kingdom,All ages,Both sexes,2019,463.35,628.44,311.83
DALYs,Rate,Household air pollution from solid fuels,All causes,United Kingdom,All ages,Both sexes,2019,0.41,1.22,0.11
DALYs,Rate,Ambient ozone pollution,All causes,United Kingdom,All ages,Both sexes,2019,12.34,25.82,3.67
DALYs,Number,Ambient particulate matter pollution,All causes,Germany,All ages,Both sexes,2019,568784.12,729797.04,418016.86
DALYs,Number,Household air pollution from solid fuels,All causes,Germany,All ages,Both sexes,2019,699.78,1907.31,179.96
DALYs,Number,Ambient ozone pollution,All causes,Germany,All ages,Both sexes,2019,34326.28,58560.53,14242.32
DALYs,Rate,Ambient particulate matter pollution,All causes,San Marino,Age-standardized,Both sexes,2019,208.99,358.45,89.43
DALYs,Rate,Household air pollution from solid fuels,All causes,San Marino,Age-standardized,Both sexes,2019,0.68,1.99,0.17
DALYs,Rate,Ambient ozone pollution,All causes,San Marino,Age-standardized,Both sexes,2019,18.18,32.66,7.42
YLLs,Number,Household air pollution from solid fuels,All causes,North Macedonia,All ages,Both sexes,1990,26890.22,44038.69,14622.36
YLLs,Rate,Household air pollution from solid fuels,All causes,North Macedonia,All ages,Both sexes,1990,1334.21,2185.06,725.51
YLLs,Number,Household air pollution from solid fuels,All causes,North Macedonia,All ages,Both sexes,2019,10544.04,22039.81,3617.11
YLLs,Rate,Household air pollution from solid fuels,All causes,North Macedonia,All ages,Both sexes,2019,489.80,1023.81,168.02
YLLs,Rate,Household air pollution from solid fuels,All causes,North Macedonia,Age-standardized,Both sexes,1990,1484.03,2423.34,806.02
YLLs,Rate,Household air pollution from solid fuels,All causes,North Macedonia,Age-standardized,Both sexes,2019,357.56,746.65,125.77
YLLs,Number,Ambient ozone pollution,All causes,North Macedonia,All ages,Both sexes,1990,968.41,1546.46,439.03
YLLs,Rate,Ambient ozone pollution,All causes,North Macedonia,All ages,Both sexes,1990,48.05,76.73,21.78
YLLs,Number,Ambient ozone pollution,All causes,North Macedonia,All ages,Both sexes,2019,349.14,642.72,130.69
YLLs,Rate,Ambient ozone pollution,All causes,North Macedonia,All ages,Both sexes,2019,16.22,29.86,6.07
YLLs,Rate,Ambient ozone pollution,All causes,North Macedonia,Age-standardized,Both sexes,1990,56.30,90.09,25.57
YLLs,Rate,Ambient ozone pollution,All causes,North Macedonia,Age-standardized,Both sexes,2019,11.60,21.19,4.33
YLLs,Number,Ambient particulate matter pollution,All causes,North Macedonia,All ages,Both sexes,1990,48119.10,67486.45,28623.22
YLLs,Rate,Ambient particulate matter pollution,All causes,North Macedonia,All ages,Both sexes,1990,2387.51,3348.46,1420.19
YLLs,Number,Ambient particulate matter pollution,All causes,North Macedonia,All ages,Both sexes,2019,55152.48,70945.01,41582.33
YLLs,Rate,Ambient particulate matter pollution,All causes,North Macedonia,All ages,Both sexes,2019,2561.98,3295.58,1931.61
YLLs,Rate,Ambient particulate matter pollution,All causes,North Macedonia,Age-standardized,Both sexes,1990,2635.75,3704.62,1552.66
YLLs,Rate,Ambient particulate matter pollution,All causes,North Macedonia,Age-standardized,Both sexes,2019,1848.49,2352.93,1399.58
YLLs,Number,Ambient ozone pollution,All causes,Czechia,All ages,Both sexes,1990,3884.36,6281.96,1688.08
YLLs,Rate,Ambient ozone pollution,All causes,Czechia,All ages,Both sexes,1990,37.72,61.00,16.39
YLLs,Number,Ambient ozone pollution,All causes,Czechia,All ages,Both sexes,2019,5146.93,8623.53,2184.74
YLLs,Rate,Ambient ozone pollution,All causes,Czechia,All ages,Both sexes,2019,48.36,81.02,20.53
YLLs,Rate,Ambient ozone pollution,All causes,Czechia,Age-standardized,Both sexes,1990,28.32,45.92,12.28
YLLs,Rate,Ambient ozone pollution,All causes,Czechia,Age-standardized,Both sexes,2019,24.15,40.72,10.30
YLLs,Number,Ambient ozone pollution,All causes,Hungary,All ages,Both sexes,1990,8246.97,13156.37,3641.67
YLLs,Rate,Ambient ozone pollution,All causes,Hungary,All ages,Both sexes,1990,79.35,126.59,35.04
YLLs,Number,Ambient ozone pollution,All causes,Hungary,All ages,Both sexes,2019,6839.11,11599.18,2875.65
YLLs,Rate,Ambient ozone pollution,All causes,Hungary,All ages,Both sexes,2019,70.69,119.90,29.72
YLLs,Rate,Ambient ozone pollution,All causes,Hungary,Age-standardized,Both sexes,1990,57.53,91.35,25.38
YLLs,Rate,Ambient ozone pollution,All causes,Hungary,Age-standardized,Both sexes,2019,36.53,62.09,15.38
YLLs,Number,Household air pollution from solid fuels,All causes,Hungary,All ages,Both sexes,1990,104227.41,196579.54,48202.79
YLLs,Rate,Household air pollution from solid fuels,All causes,Hungary,All ages,Both sexes,1990,1002.90,1891.53,463.82
YLLs,Number,Household air pollution from solid fuels,All causes,Hungary,All ages,Both sexes,2019,24540.89,59251.04,6807.76
YLLs,Rate,Household air pollution from solid fuels,All causes,Hungary,All ages,Both sexes,2019,253.67,612.45,70.37
YLLs,Number,Household air pollution from solid fuels,All causes,Czechia,All ages,Both sexes,1990,9261.51,21617.64,3370.10
YLLs,Rate,Household air pollution from solid fuels,All causes,Czechia,All ages,Both sexes,1990,89.94,209.93,32.73
YLLs,Number,Household air pollution from solid fuels,All causes,Czechia,All ages,Both sexes,2019,1320.43,3409.12,332.77
YLLs,Rate,Household air pollution from solid fuels,All causes,Czechia,All ages,Both sexes,2019,12.41,32.03,3.13
YLLs,Rate,Household air pollution from solid fuels,All causes,Czechia,Age-standardized,Both sexes,1990,70.61,164.73,25.49
YLLs,Rate,Household air pollution from solid fuels,All causes,Czechia,Age-standardized,Both sexes,2019,6.59,17.21,1.67
YLLs,Number,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,1990,6839.32,10764.19,3153.64
YLLs,Rate,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,1990,78.78,123.99,36.33
YLLs,Number,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,2019,2603.45,4493.58,1057.86
YLLs,Rate,Ambient ozone pollution,All causes,Bulgaria,All ages,Both sexes,2019,37.54,64.80,15.25
YLLs,Rate,Ambient ozone pollution,All causes,Bulgaria,Age-standardized,Both sexes,1990,56.89,89.76,26.30
YLLs,Rate,Ambient ozone pollution,All causes,Bulgaria,Age-standardized,Both sexes,2019,18.23,31.41,7.41
YLLs,Rate,Household air pollution from solid fuels,All causes,Hungary,Age-standardized,Both sexes,1990,781.80,1465.50,360.52
